55,261,"HKG","CDG","8:00","Monday","14:00","Monday",599.95,2
56,264,"HKG","CDG","9:00","Monday","16:00","Monday",59,2
57,267,"HKG","CDG","10:00","Monday","18:00","Monday",299.99,2
58,270,"HKG","CDG","12:00","Monday","20:00","Monday",59,2
59,273,"HKG","CDG","14:00","Monday","0:00","Tuesday",233.99,2
60,276,"HKG","CDG","15:00","Monday","3:00","Tuesday",233.99,2
61,279,"HKG","CDG","17:00","Monday","7:00","Tuesday",233.99,2
62,282,"HKG","LHR","4:00","Monday","8:00","Monday",99.95,1
63,285,"HKG","LHR","6:00","Monday","11:00","Monday",233.99,1
64,288,"HKG","LHR","8:00","Monday","14:00","Monday",199.99,1
65,291,"HKG","LHR","9:00","Monday","16:00","Monday",79.95,1
66,294,"HKG","ARN","4:00","Monday","8:00","Monday",79.95,2
67,297,"HKG","ARN","6:00","Monday","11:00","Monday",125,2
68,300,"HKG","ARN","8:00","Monday","14:00","Monday",99.95,2
69,303,"HKG","ARN","9:00","Monday","16:00","Monday",233.99,2
70,306,"HKG","ARN","10:00","Monday","18:00","Monday",59,2
71,309,"HKG","ARN","12:00","Monday","20:00","Monday",125,2
72,312,"HKG","ARN","14:00","Monday","0:00","Tuesday",299.99,2
73,315,"HKG","ARN","15:00","Monday","3:00","Tuesday",199.99,2
74,318,"HKG","ARN","17:00","Monday","7:00","Tuesday",99.95,2
75,321,"HKG","GCM","4:00","Monday","8:00","Monday",79.95,4
76,324,"HKG","GCM","6:00","Monday","11:00","Monday",79.95,4
77,327,"HKG","GCM","8:00","Monday","14:00","Monday",159.99,4
78,330,"HKG","GCM","9:00","Monday","16:00","Monday",59,4
79,333,"HKG","GCM","10:00","Monday","18:00","Monday",209.89,4
80,336,"HKG","GCM","12:00","Monday","20:00","Monday",299.99,4
81,339,"HKG","GCM","14:00","Monday","0:00","Tuesday",199.99,4
82,342,"HKG","YYZ","4:00","Monday","8:00","Monday",299.99,2
83,345,"HKG","YYZ","6:00","Monday","11:00","Monday",599.95,2
84,348,"HKG","YYZ","8:00","Monday","14:00","Monday",59,2
85,351,"HKG","YYZ","9:00","Monday","16:00","Monday",99.95,2
86,354,"HKG","YYZ","10:00","Monday","18:00","Monday",59,2
87,357,"HKG","ITO","4:00","Monday","8:00","Monday",125,2
88,360,"HKG","ITO","6:00","Monday","11:00","Monday",599.95,2
89,363,"HKG","ITO","8:00","Monday","14:00","Monday",233.99,2
90,366,"HKG","ITO","9:00","Monday","16:00","Monday",209.89,2
91,369,"HKG","ITO","10:00","Monday","18:00","Monday",233.99,2
92,372,"HKG","HNL","4:00","Monday","8:00","Monday",209.89,4
93,375,"HKG","HNL","6:00","Monday","11:00","Monday",59,4
94,378,"HKG","HNL","8:00","Monday","14:00","Monday",59,4
95,381,"HKG","HNL","9:00","Monday","16:00","Monday",233.99,4
96,384,"HKG","HNL","10:00","Monday","18:00","Monday",199.99,4
97,387,"HKG","HNL","12:00","Monday","20:00","Monday",199.99,4
98,390,"HKG","CUR","4:00","Monday","8:00","Monday",209.89,3
99,393,"HKG","CUR","6:00","Monday","11:00","Monday",59,3
100,396,"NRT","HNL","4:00","Monday","8:00","Monday",59,2
101,399,"NRT","HNL","6:00","Monday","11:00","Monday",599.95,2
102,402,"NRT","HNL","8:00","Monday","14:00","Monday",299.99,2
103,405,"NRT","HKG","4:00","Monday","8:00","Monday",209.89,2
104,408,"NRT","HKG","6:00","Monday","11:00","Monday",79.95,2
105,411,"NRT","HKG","8:00","Monday","14:00","Monday",99.95,2
106,414,"NRT","HKG","9:00","Monday","16:00","Monday",233.99,2
107,417,"NRT","CDG","4:00","Monday","8:00","Monday",599.95,4
108,420,"NRT","CDG","6:00","Monday","11:00","Monday",233.99,4
109,423,"NRT","LHR","4:00","Monday","8:00","Monday",159.99,3
110,426,"NRT","LHR","6:00","Monday","11:00","Monday",159.99,3
111,429,"NRT","LHR","8:00","Monday","14:00","Monday",209.89,3
112,432,"NRT","LHR","9:00","Monday","16:00","Monday",299.99,3
113,435,"NRT","LHR","10:00","Monday","18:00","Monday",299.99,3
114,438,"NRT","LHR","12:00","Monday","20:00","Monday",199.99,3
115,441,"NRT","LHR","14:00","Monday","0:00","Tuesday",209.89,3
116,444,"NRT","LHR","15:00","Monday","3:00","Tuesday",79.95,3
117,447,"NRT","ARN","4:00","Monday","8:00","Monday",99.95,3
118,450,"NRT","ARN","6:00","Monday","11:00","Monday",599.95,3
119,453,"NRT","ARN","8:00","Monday","14:00","Monday",159.99,3
120,456,"NRT","ARN","9:00","Monday","16:00","Monday",599.95,3
121,459,"NRT","GCM","4:00","Monday","8:00","Monday",199.99,2
122,462,"NRT","GCM","6:00","Monday","11:00","Monday",59,2
123,465,"NRT","YYZ","4:00","Monday","8:00","Monday",199.99,3
124,468,"NRT","YYZ","6:00","Monday","11:00","Monday",599.95,3
125,471,"NRT","YYZ","8:00","Monday","14:00","Monday",599.95,3
126,474,"NRT","YYZ","9:00","Monday","16:00","Monday",209.89,3
127,477,"NRT","YYZ","10:00","Monday","18:00","Monday",599.95,3
128,480,"NRT","ITO","4:00","Monday","8:00","Monday",299.99,2
129,483,"NRT","ITO","6:00","Monday","11:00","Monday",99.95,2
130,486,"NRT","ITO","8:00","Monday","14:00","Monday",125,2
131,489,"NRT","ITO","9:00","Monday","16:00","Monday",209.89,2
132,492,"NRT","ITO","10:00","Monday","18:00","Monday",159.99,2
133,495,"NRT","ITO","12:00","Monday","20:00","Monday",79.95,2
134,498,"NRT","ITO","14:00","Monday","0:00","Tuesday",159.99,2
135,501,"NRT","ITO","15:00","Monday","3:00","Tuesday",99.95,2
136,504,"NRT","ITO","17:00","Monday","7:00","Tuesday",599.95,2
137,507,"NRT","HNL","4:00","Monday","8:00","Monday",599.95,1
138,510,"NRT","HNL","6:00","Monday","11:00","Monday",599.95,1
139,513,"NRT","HNL","8:00","Monday","14:00","Monday",199.99,1
140,516,"NRT","HNL","9:00","Monday","16:00","Monday",159.99,1
141,519,"NRT","HNL","10:00","Monday","18:00","Monday",299.99,1
142,522,"NRT","HNL","12:00","Monday","20:00","Monday",125,1
143,525,"NRT","HNL","14:00","Monday","0:00","Tuesday",79.95,1
144,528,"NRT","HNL","15:00","Monday","3:00","Tuesday",599.95,1
145,531,"NRT","HNL","17:00","Monday","7:00","Tuesday",299.99,1
146,534,"NRT","CUR","4:00","Monday","8:00","Monday",125,2
147,537,"NRT","CUR","6:00","Monday","11:00","Monday",79.95,2
148,540,"NRT","CUR","8:00","Monday","14:00","Monday",299.99,2
149,543,"NRT","CUR","9:00","Monday","16:00","Monday",125,2
150,546,"NRT","CUR","10:00","Monday","18:00","Monday",79.95,2
151,549,"CDG","HNL","4:00","Monday","8:00","Monday",159.99,2
152,552,"CDG","HNL","6:00","Monday","11:00","Monday",299.99,2
153,555,"CDG","HNL","8:00","Monday","14:00","Monday",125,2
154,558,"CDG","HNL","9:00","Monday","16:00","Monday",125,2
155,561,"CDG","HNL","10:00","Monday","18:00","Monday",59,2
156,564,"CDG","HNL","12:00","Monday","20:00","Monday",79.95,2
157,567,"CDG","HKG","4:00","Monday","8:00","Monday",99.95,3
158,570,"CDG","HKG","6:00","Monday","11:00","Monday",199.99,3
159,573,"CDG","HKG","8:00","Monday","14:00","Monday",599.95,3
160,576,"CDG","HKG","9:00","Monday","16:00","Monday",59,3
161,579,"CDG","HKG","10:00","Monday","18:00","Monday",59,3
162,582,"CDG","NRT","4:00","Monday","8:00","Monday",599.95,1
163,585,"CDG","NRT","6:00","Monday","11:00","Monday",79.95,1
164,588,"CDG","NRT","8:00","Monday","14:00","Monday",599.95,1
165,591,"CDG","NRT","9:00","Monday","16:00","Monday",233.99,1
166,594,"CDG","NRT","10:00","Monday","18:00","Monday",199.99,1
167,597,"CDG","NRT","12:00","Monday","20:00","Monday",59,1
168,600,"CDG","NRT","14:00","Monday","0:00","Tuesday",233.99,1
169,603,"CDG","NRT","15:00","Monday","3:00","Tuesday",209.89,1
170,606,"CDG","LHR","4:00","Monday","8:00","Monday",233.99,2
171,609,"CDG","LHR","6:00","Monday","11:00","Monday",79.95,2
172,612,"CDG","LHR","8:00","Monday","14:00","Monday",233.99,2
173,615,"CDG","LHR","9:00","Monday","16:00","Monday",99.95,2
174,618,"CDG","LHR","10:00","Monday","18:00","Monday",159.99,2
175,621,"CDG","LHR","12:00","Monday","20:00","Monday",209.89,2
176,624,"CDG","LHR","14:00","Monday","0:00","Tuesday",59,2
177,627,"CDG","LHR","15:00","Monday","3:00","Tuesday",299.99,2
178,630,"CDG","ARN","4:00","Monday","8:00","Monday",79.95,1
179,633,"CDG","ARN","6:00","Monday","11:00","Monday",199.99,1
180,636,"CDG","ARN","8:00","Monday","14:00","Monday",199.99,1
181,639,"CDG","ARN","9:00","Monday","16:00","Monday",59,1
182,642,"CDG","GCM","4:00","Monday","8:00","Monday",209.89,2
183,645,"CDG","GCM","6:00","Monday","11:00","Monday",209.89,2
184,648,"CDG","GCM","8:00","Monday","14:00","Monday",79.95,2
185,651,"CDG","GCM","9:00","Monday","16:00","Monday",79.95,2
186,654,"CDG","GCM","10:00","Monday","18:00","Monday",99.95,2
187,657,"CDG","GCM","12:00","Monday","20:00","Monday",199.99,2
188,660,"CDG","GCM","14:00","Monday","0:00","Tuesday",199.99,2
189,663,"CDG","YYZ","4:00","Monday","8:00","Monday",299.99,1
190,666,"CDG","YYZ","6:00","Monday","11:00","Monday",209.89,1
191,669,"CDG","YYZ","8:00","Monday","14:00","Monday",299.99,1
192,672,"CDG","YYZ","9:00","Monday","16:00","Monday",209.89,1
193,675,"CDG","YYZ","10:00","Monday","18:00","Monday",209.89,1
194,678,"CDG","ITO","4:00","Monday","8:00","Monday",299.99,1
195,681,"CDG","ITO","6:00","Monday","11:00","Monday",209.89,1
196,684,"CDG","ITO","8:00","Monday","14:00","Monday",233.99,1
197,687,"CDG","ITO","9:00","Monday","16:00","Monday",159.99,1
198,690,"CDG","ITO","10:00","Monday","18:00","Monday",209.89,1
199,693,"CDG","ITO","12:00","Monday","20:00","Monday",199.99,1
200,696,"CDG","ITO","14:00","Monday","0:00","Tuesday",159.99,1
201,699,"CDG","ITO","15:00","Monday","3:00","Tuesday",599.95,1
202,702,"CDG","HNL","4:00","Monday","8:00","Monday",79.95,1
203,705,"CDG","HNL","6:00","Monday","11:00","Monday",299.99,1
204,708,"CDG","HNL","8:00","Monday","14:00","Monday",79.95,1
205,711,"CDG","HNL","9:00","Monday","16:00","Monday",209.89,1
206,714,"CDG","HNL","10:00","Monday","18:00","Monday",209.89,1
207,717,"LHR","HNL","4:00","Monday","8:00","Monday",209.89,2
208,720,"LHR","HNL","6:00","Monday","11:00","Monday",159.99,2
209,723,"LHR","HNL","8:00","Monday","14:00","Monday",599.95,2
210,726,"LHR","HNL","9:00","Monday","16:00","Monday",233.99,2
211,729,"LHR","HNL","10:00","Monday","18:00","Monday",59,2
212,732,"LHR","HNL","12:00","Monday","20:00","Monday",159.99,2
213,735,"LHR","HNL","14:00","Monday","0:00","Tuesday",233.99,2
214,738,"LHR","HNL","15:00","Monday","3:00","Tuesday",59,2
215,741,"LHR","HKG","4:00","Monday","8:00","Monday",299.99,2
216,744,"LHR","HKG","6:00","Monday","11:00","Monday",199.99,2
217,747,"LHR","HKG","8:00","Monday","14:00","Monday",79.95,2
218,750,"LHR","HKG","9:00","Monday","16:00","Monday",299.99,2
219,753,"LHR","HKG","10:00","Monday","18:00","Monday",199.99,2
220,756,"LHR","NRT","4:00","Monday","8:00","Monday",59,3
221,759,"LHR","NRT","6:00","Monday","11:00","Monday",159.99,3
222,762,"LHR","NRT","8:00","Monday","14:00","Monday",299.99,3
223,765,"LHR","NRT","9:00","Monday","16:00","Monday",209.89,3
224,768,"LHR","NRT","10:00","Monday","18:00","Monday",299.99,3
225,771,"LHR","NRT","12:00","Monday","20:00","Monday",299.99,3
226,774,"LHR","NRT","14:00","Monday","0:00","Tuesday",125,3
227,777,"LHR","NRT","15:00","Monday","3:00","Tuesday",99.95,3
228,780,"LHR","NRT","17:00","Monday","7:00","Tuesday",79.95,3
229,783,"LHR","CDG","4:00","Monday","8:00","Monday",233.99,2
230,786,"LHR","CDG","6:00","Monday","11:00","Monday",79.95,2
231,789,"LHR","CDG","8:00","Monday","14:00","Monday",79.95,2
232,792,"LHR","CDG","9:00","Monday","16:00","Monday",599.95,2
233,795,"LHR","GCM","4:00","Monday","8:00","Monday",79.95,4
234,798,"LHR","GCM","6:00","Monday","11:00","Monday",299.99,4
235,801,"LHR","GCM","8:00","Monday","14:00","Monday",233.99,4
236,804,"LHR","GCM","9:00","Monday","16:00","Monday",99.95,4
237,807,"LHR","GCM","10:00","Monday","18:00","Monday",125,4
238,810,"LHR","GCM","12:00","Monday","20:00","Monday",159.99,4
239,813,"LHR","YYZ","4:00","Monday","8:00","Monday",199.99,1
240,816,"LHR","ITO","4:00","Monday","8:00","Monday",159.99,4
241,819,"LHR","ITO","6:00","Monday","11:00","Monday",599.95,4
242,822,"LHR","ITO","8:00","Monday","14:00","Monday",209.89,4
243,825,"LHR","ITO","9:00","Monday","16:00","Monday",233.99,4
244,828,"LHR","ITO","10:00","Monday","18:00","Monday",599.95,4
245,831,"LHR","ITO","12:00","Monday","20:00","Monday",99.95,4
246,834,"LHR","CUR","4:00","Monday","8:00","Monday",59,3
247,837,"LHR","CUR","6:00","Monday","11:00","Monday",79.95,3
248,840,"LHR","CUR","8:00","Monday","14:00","Monday",599.95,3
249,843,"LHR","CUR","9:00","Monday","16:00","Monday",59,3
250,846,"LHR","CUR","10:00","Monday","18:00","Monday",59,3
251,849,"ARN","HNL","4:00","Monday","8:00","Monday",159.99,2
252,852,"ARN","HNL","6:00","Monday","11:00","Monday",209.89,2
253,855,"ARN","HNL","8:00","Monday","14:00","Monday",79.95,2
254,858,"ARN","HKG","4:00","Monday","8:00","Monday",233.99,2
255,861,"ARN","NRT","4:00","Monday","8:00","Monday",79.95,2
256,864,"ARN","NRT","6:00","Monday","11:00","Monday",125,2
257,867,"ARN","NRT","8:00","Monday","14:00","Monday",99.95,2
258,870,"ARN","NRT","9:00","Monday","16:00","Monday",599.95,2
259,873,"ARN","NRT","10:00","Monday","18:00","Monday",159.99,2
260,876,"ARN","NRT","12:00","Monday","20:00","Monday",59,2
261,879,"ARN","NRT","14:00","Monday","0:00","Tuesday",233.99,2
262,882,"ARN","NRT","15:00","Monday","3:00","Tuesday",125,2
263,885,"ARN","CDG","4:00","Monday","8:00","Monday",199.99,1
264,888,"ARN","CDG","6:00","Monday","11:00","Monday",599.95,1
265,891,"ARN","CDG","8:00","Monday","14:00","Monday",159.99,1
266,894,"ARN","CDG","9:00","Monday","16:00","Monday",159.99,1
267,897,"ARN","CDG","10:00","Monday","18:00","Monday",233.99,1
268,900,"ARN","CDG","12:00","Monday","20:00","Monday",209.89,1
269,903,"ARN","CDG","14:00","Monday","0:00","Tuesday",209.89,1
270,906,"ARN","CDG","15:00","Monday","3:00","Tuesday",99.95,1
271,909,"ARN","CDG","17:00","Monday","7:00","Tuesday",209.89,1
272,912,"ARN","LHR","4:00","Monday","8:00","Monday",233.99,3
273,915,"ARN","LHR","6:00","Monday","11:00","Monday",233.99,3
274,918,"ARN","LHR","8:00","Monday","14:00","Monday",299.99,3
275,921,"ARN","LHR","9:00","Monday","16:00","Monday",199.99,3
276,924,"ARN","LHR","10:00","Monday","18:00","Monday",159.99,3
277,927,"ARN","LHR","12:00","Monday","20:00","Monday",59,3
278,930,"ARN","LHR","14:00","Monday","0:00","Tuesday",99.95,3
279,933,"ARN","LHR","15:00","Monday","3:00","Tuesday",209.89,3
280,936,"ARN","GCM","4:00","Monday","8:00","Monday",59,2
281,939,"ARN","GCM","6:00","Monday","11:00","Monday",209.89,2
282,942,"ARN","GCM","8:00","Monday","14:00","Monday",209.89,2
283,945,"ARN","GCM","9:00","Monday","16:00","Monday",99.95,2
284,948,"ARN","GCM","10:00","Monday","18:00","Monday",125,2
285,951,"ARN","GCM","12:00","Monday","20:00","Monday",599.95,2
286,954,"ARN","GCM","14:00","Monday","0:00","Tuesday",209.89,2
287,957,"ARN","GCM","15:00","Monday","3:00","Tuesday",599.95,2
288,960,"ARN","YYZ","4:00","Monday","8:00","Monday",233.99,2
289,963,"ARN","YYZ","6:00","Monday","11:00","Monday",199.99,2
290,966,"ARN","ITO","4:00","Monday","8:00","Monday",99.95,3
291,969,"ARN","ITO","6:00","Monday","11:00","Monday",159.99,3
292,972,"ARN","ITO","8:00","Monday","14:00","Monday",59,3
293,975,"ARN","ITO","9:00","Monday","16:00","Monday",59,3
294,978,"ARN","ITO","10:00","Monday","18:00","Monday",233.99,3
295,981,"ARN","HNL","4:00","Monday","8:00","Monday",233.99,2
296,984,"ARN","HNL","6:00","Monday","11:00","Monday",59,2
297,987,"ARN","HNL","8:00","Monday","14:00","Monday",599.95,2
298,990,"ARN","HNL","9:00","Monday","16:00","Monday",79.95,2
299,993,"ARN","HNL","10:00","Monday","18:00","Monday",599.95,2
300,996,"ARN","HNL","12:00","Monday","20:00","Monday",599.95,2
301,999,"ARN","HNL","14:00","Monday","0:00","Tuesday",299.99,2
302,1002,"ARN","HNL","15:00","Monday","3:00","Tuesday",599.95,2
303,1005,"GCM","HNL","4:00","Monday","8:00","Monday",59,3
304,1008,"GCM","HNL","6:00","Monday","11:00","Monday",125,3
305,1011,"GCM","HKG","4:00","Monday","8:00","Monday",199.99,3
306,1014,"GCM","HKG","6:00","Monday","11:00","Monday",199.99,3
307,1017,"GCM","HKG","8:00","Monday","14:00","Monday",125,3
308,1020,"GCM","HKG","9:00","Monday","16:00","Monday",209.89,3
309,1023,"GCM","HKG","10:00","Monday","18:00","Monday",59,3
310,1026,"GCM","NRT","4:00","Monday","8:00","Monday",59,2
311,1029,"GCM","CDG","4:00","Monday","8:00","Monday",233.99,2
312,1032,"GCM","CDG","6:00","Monday","11:00","Monday",233.99,2
313,1035,"GCM","CDG","8:00","Monday","14:00","Monday",233.99,2
314,1038,"GCM","LHR","4:00","Monday","8:00","Monday",159.99,4
315,1041,"GCM","ARN","4:00","Monday","8:00","Monday",299.99,3
316,1044,"GCM","ARN","6:00","Monday","11:00","Monday",599.95,3
317,1047,"GCM","ARN","8:00","Monday","14:00","Monday",233.99,3
318,1050,"GCM","YYZ","4:00","Monday","8:00","Monday",209.89,3
319,1053,"GCM","YYZ","6:00","Monday","11:00","Monday",599.95,3
320,1056,"GCM","YYZ","8:00","Monday","14:00","Monday",125,3
321,1059,"GCM","YYZ","9:00","Monday","16:00","Monday",299.99,3
322,1062,"GCM","YYZ","10:00","Monday","18:00","Monday",209.89,3
323,1065,"GCM","YYZ","12:00","Monday","20:00","Monday",159.99,3
324,1068,"GCM","YYZ","14:00","Monday","0:00","Tuesday",159.99,3
325,1071,"GCM","ITO","4:00","Monday","8:00","Monday",599.95,1
326,1074,"GCM","ITO","6:00","Monday","11:00","Monday",599.95,1
327,1077,"GCM","ITO","8:00","Monday","14:00","Monday",59,1
328,1080,"GCM","ITO","9:00","Monday","16:00","Monday",233.99,1
329,1083,"GCM","ITO","10:00","Monday","18:00","Monday",99.95,1
330,1086,"GCM","ITO","12:00","Monday","20:00","Monday",233.99,1
331,1089,"GCM","ITO","14:00","Monday","0:00","Tuesday",209.89,1
332,1092,"GCM","ITO","15:00","Monday","3:00","Tuesday",599.95,1
333,1095,"GCM","ITO","17:00","Monday","7:00","Tuesday",79.95,1
334,1098,"GCM","HNL","4:00","Monday","8:00","Monday",299.99,2
335,1101,"GCM","HNL","6:00","Monday","11:00","Monday",79.95,2
336,1104,"GCM","HNL","8:00","Monday","14:00","Monday",199.99,2
337,1107,"GCM","HNL","9:00","Monday","16:00","Monday",233.99,2
338,1110,"GCM","CUR","4:00","Monday","8:00","Monday",59,1
339,1113,"GCM","CUR","6:00","Monday","11:00","Monday",199.99,1
340,1116,"GCM","CUR","8:00","Monday","14:00","Monday",159.99,1
341,1119,"GCM","CUR","9:00","Monday","16:00","Monday",99.95,1
342,1122,"GCM","CUR","10:00","Monday","18:00","Monday",79.95,1
343,1125,"YYZ","HNL","4:00","Monday","8:00","Monday",99.95,1
344,1128,"YYZ","HNL","6:00","Monday","11:00","Monday",299.99,1
345,1131,"YYZ","HNL","8:00","Monday","14:00","Monday",159.99,1
346,1134,"YYZ","HKG","4:00","Monday","8:00","Monday",159.99,2
347,1137,"YYZ","HKG","6:00","Monday","11:00","Monday",125,2
348,1140,"YYZ","NRT","4:00","Monday","8:00","Monday",79.95,3
349,1143,"YYZ","NRT","6:00","Monday","11:00","Monday",233.99,3
350,1146,"YYZ","NRT","8:00","Monday","14:00","Monday",233.99,3
351,1149,"YYZ","NRT","9:00","Monday","16:00","Monday",599.95,3
352,1152,"YYZ","NRT","10:00","Monday","18:00","Monday",299.99,3
353,1155,"YYZ","CDG","4:00","Monday","8:00","Monday",299.99,2
354,1158,"YYZ","CDG","6:00","Monday","11:00","Monday",209.89,2
355,1161,"YYZ","CDG","8:00","Monday","14:00","Monday",59,2
356,1164,"YYZ","CDG","9:00","Monday","16:00","Monday",99.95,2
357,1167,"YYZ","CDG","10:00","Monday","18:00","Monday",233.99,2
358,1170,"YYZ","CDG","12:00","Monday","20:00","Monday",299.99,2
359,1173,"YYZ","CDG","14:00","Monday","0:00","Tuesday",59,2
360,1176,"YYZ","CDG","15:00","Monday","3:00","Tuesday",99.95,2
361,1179,"YYZ","LHR","4:00","Monday","8:00","Monday",199.99,4
362,1182,"YYZ","LHR","6:00","Monday","11:00","Monday",99.95,4
363,1185,"YYZ","LHR","8:00","Monday","14:00","Monday",79.95,4
364,1188,"YYZ","ARN","4:00","Monday","8:00","Monday",199.99,2
365,1191,"YYZ","ARN","6:00","Monday","11:00","Monday",159.99,2
366,1194,"YYZ","GCM","4:00","Monday","8:00","Monday",159.99,3
367,1197,"YYZ","GCM","6:00","Monday","11:00","Monday",299.99,3
368,1200,"YYZ","GCM","8:00","Monday","14:00","Monday",59,3
369,1203,"YYZ","GCM","9:00","Monday","16:00","Monday",125,3
370,1206,"YYZ","GCM","10:00","Monday","18:00","Monday",59,3
371,1209,"YYZ","GCM","12:00","Monday","20:00","Monday",79.95,3
372,1212,"YYZ","GCM","14:00","Monday","0:00","Tuesday",125,3
373,1215,"YYZ","GCM","15:00","Monday","3:00","Tuesday",59,3
374,1218,"YYZ","ITO","4:00","Monday","8:00","Monday",99.95,2
375,1221,"YYZ","ITO","6:00","Monday","11:00","Monday",599.95,2
376,1224,"YYZ","ITO","8:00","Monday","14:00","Monday",59,2
377,1227,"YYZ","ITO","9:00","Monday","16:00","Monday",209.89,2
378,1230,"YYZ","ITO","10:00","Monday","18:00","Monday",125,2
379,1233,"YYZ","ITO","12:00","Monday","20:00","Monday",79.95,2
380,1236,"YYZ","ITO","14:00","Monday","0:00","Tuesday",99.95,2
381,1239,"YYZ","HNL","4:00","Monday","8:00","Monday",59,1
382,1242,"YYZ","HNL","6:00","Monday","11:00","Monday",199.99,1
383,1245,"ITO","HNL","4:00","Monday","8:00","Monday",59,3
384,1248,"ITO","HNL","6:00","Monday","11:00","Monday",233.99,3
385,1251,"ITO","HNL","8:00","Monday","14:00","Monday",125,3
386,1254,"ITO","HNL","9:00","Monday","16:00","Monday",599.95,3
387,1257,"ITO","HNL","10:00","Monday","18:00","Monday",599.95,3
388,1260,"ITO","HNL","12:00","Monday","20:00","Monday",125,3
389,1263,"ITO","HNL","14:00","Monday","0:00","Tuesday",599.95,3
390,1266,"ITO","HNL","15:00","Monday","3:00","Tuesday",79.95,3
391,1269,"ITO","HKG","4:00","Monday","8:00","Monday",199.99,2
392,1272,"ITO","HKG","6:00","Monday","11:00","Monday",299.99,2
393,1275,"ITO","CDG","4:00","Monday","8:00","Monday",59,2
394,1278,"ITO","CDG","6:00","Monday","11:00","Monday",599.95,2
395,1281,"ITO","CDG","8:00","Monday","14:00","Monday",125,2
396,1284,"ITO","CDG","9:00","Monday","16:00","Monday",299.99,2
