flightnum,departcity,arrivecity,departdaytime,arrivedaytime,cost,code
345,"HKG","YYZ","2022-01-03 06:00","2022-01-03 11:00",599.95,2
348,"HKG","YYZ","2022-01-03 08:00","2022-01-03 14:00",59.00,2
351,"HKG","YYZ","2022-01-03 09:00","2022-01-03 16:00",99.95,2
354,"HKG","YYZ","2022-01-03 10:00","2022-01-03 18:00",59.00,2
357,"HKG","ITO","2022-01-03 04:00","2022-01-03 08:00",125.00,2
360,"HKG","ITO","2022-01-03 06:00","2022-01-03 11:00",599.95,2
363,"HKG","ITO","2022-01-03 08:00","2022-01-03 14:00",233.99,2
366,"HKG","ITO","2022-01-03 09:00","2022-01-03 16:00",209.89,2
369,"HKG","ITO","2022-01-03 10:00","2022-01-03 18:00",233.99,2
372,"HKG","HNL","2022-01-03 04:00","2022-01-03 08:00",209.89,4
375,"HKG","HNL","2022-01-03 06:00","2022-01-03 11:00",59.00,4
378,"HKG","HNL","2022-01-03 08:00","2022-01-03 14:00",59.00,4
381,"HKG","HNL","2022-01-03 09:00","2022-01-03 16:00",233.99,4
384,"HKG","HNL","2022-01-03 10:00","2022-01-03 18:00",199.99,4
387,"HKG","HNL","2022-01-03 12:00","2022-01-03 20:00",199.99,4
390,"HKG","CUR","2022-01-03 04:00","2022-01-03 08:00",209.89,3
393,"HKG","CUR","2022-01-03 06:00","2022-01-03 11:00",59.00,3
396,"NRT","HNL","2022-01-03 04:00","2022-01-03 08:00",59.00,2
399,"NRT","HNL","2022-01-03 06:00","2022-01-03 11:00",599.95,2
402,"NRT","HNL","2022-01-03 08:00","2022-01-03 14:00",299.99,2
405,"NRT","HKG","2022-01-03 04:00","2022-01-03 08:00",209.89,2
408,"NRT","HKG","2022-01-03 06:00","2022-01-03 11:00",79.95,2
411,"NRT","HKG","2022-01-03 08:00","2022-01-03 14:00",99.95,2
414,"NRT","HKG","2022-01-03 09:00","2022-01-03 16:00",233.99,2
417,"NRT","CDG","2022-01-03 04:00","2022-01-03 08:00",599.95,4
420,"NRT","CDG","2022-01-03 06:00","2022-01-03 11:00",233.99,4
423,"NRT","LHR","2022-01-03 04:00","2022-01-03 08:00",159.99,3
426,"NRT","LHR","2022-01-03 06:00","2022-01-03 11:00",159.99,3
429,"NRT","LHR","2022-01-03 08:00","2022-01-03 14:00",209.89,3
432,"NRT","LHR","2022-01-03 09:00","2022-01-03 16:00",299.99,3
435,"NRT","LHR","2022-01-03 10:00","2022-01-03 18:00",299.99,3
438,"NRT","LHR","2022-01-03 12:00","2022-01-03 20:00",199.99,3
441,"NRT","LHR","2022-01-03 14:00","2022-01-04 20:00",209.89,3
444,"NRT","LHR","2022-01-03 15:00","2022-01-04 03:00",79.95,3
447,"NRT","ARN","2022-01-03 04:00","2022-01-03 08:00",99.95,3
450,"NRT","ARN","2022-01-03 06:00","2022-01-03 11:00",599.95,3
453,"NRT","ARN","2022-01-03 08:00","2022-01-03 14:00",159.99,3
456,"NRT","ARN","2022-01-03 09:00","2022-01-03 16:00",599.95,3
459.00,"NRT","GCM","2022-01-03 04:00","2022-01-03 08:00",199.99,2
462,"NRT","GCM","2022-01-03 06:00","2022-01-03 11:00",59.00,2
465,"NRT","YYZ","2022-01-03 04:00","2022-01-03 08:00",199.99,3
468,"NRT","YYZ","2022-01-03 06:00","2022-01-03 11:00",599.95,3
471,"NRT","YYZ","2022-01-03 08:00","2022-01-03 14:00",599.95,3
474,"NRT","YYZ","2022-01-03 09:00","2022-01-03 16:00",209.89,3
477,"NRT","YYZ","2022-01-03 10:00","2022-01-03 18:00",599.95,3
480,"NRT","ITO","2022-01-03 04:00","2022-01-03 08:00",299.99,2
483,"NRT","ITO","2022-01-03 06:00","2022-01-03 11:00",99.95,2
486,"NRT","ITO","2022-01-03 08:00","2022-01-03 14:00",125.00,2
489,"NRT","ITO","2022-01-03 09:00","2022-01-03 16:00",209.89,2
492,"NRT","ITO","2022-01-03 10:00","2022-01-03 18:00",159.99,2
495,"NRT","ITO","2022-01-03 12:00","2022-01-03 20:00",79.95,2
498,"NRT","ITO","2022-01-03 14:00","2022-01-04 20:00",159.99,2
501,"NRT","ITO","2022-01-03 15:00","2022-01-04 03:00",99.95,2
504,"NRT","ITO","2022-01-03 17:00","2022-01-04 07:00",599.95,2
507,"NRT","HNL","2022-01-03 04:00","2022-01-03 08:00",599.95,1
510,"NRT","HNL","2022-01-03 06:00","2022-01-03 11:00",599.95,1
513,"NRT","HNL","2022-01-03 08:00","2022-01-03 14:00",199.99,1
516,"NRT","HNL","2022-01-03 09:00","2022-01-03 16:00",159.99,1
519,"NRT","HNL","2022-01-03 10:00","2022-01-03 18:00",299.99,1
522,"NRT","HNL","2022-01-03 12:00","2022-01-03 20:00",125.00,1
525,"NRT","HNL","2022-01-03 14:00","2022-01-04 20:00",79.95,1
528,"NRT","HNL","2022-01-03 15:00","2022-01-04 03:00",599.95,1
531,"NRT","HNL","2022-01-03 17:00","2022-01-04 07:00",299.99,1
534,"NRT","CUR","2022-01-03 04:00","2022-01-03 08:00",125.00,2
537,"NRT","CUR","2022-01-03 06:00","2022-01-03 11:00",79.95,2
540,"NRT","CUR","2022-01-03 08:00","2022-01-03 14:00",299.99,2
543,"NRT","CUR","2022-01-03 09:00","2022-01-03 16:00",125.00,2
546,"NRT","CUR","2022-01-03 10:00","2022-01-03 18:00",79.95,2
549,"CDG","HNL","2022-01-03 04:00","2022-01-03 08:00",159.99,2
552,"CDG","HNL","2022-01-03 06:00","2022-01-03 11:00",299.99,2
555,"CDG","HNL","2022-01-03 08:00","2022-01-03 14:00",125.00,2
558,"CDG","HNL","2022-01-03 09:00","2022-01-03 16:00",125.00,2
561,"CDG","HNL","2022-01-03 10:00","2022-01-03 18:00",59.00,2
564,"CDG","HNL","2022-01-03 12:00","2022-01-03 20:00",79.95,2
567,"CDG","HKG","2022-01-03 04:00","2022-01-03 08:00",99.95,3
570,"CDG","HKG","2022-01-03 06:00","2022-01-03 11:00",199.99,3
573,"CDG","HKG","2022-01-03 08:00","2022-01-03 14:00",599.95,3
576,"CDG","HKG","2022-01-03 09:00","2022-01-03 16:00",59.00,3
579,"CDG","HKG","2022-01-03 10:00","2022-01-03 18:00",59.00,3
582,"CDG","NRT","2022-01-03 04:00","2022-01-03 08:00",599.95,1
585,"CDG","NRT","2022-01-03 06:00","2022-01-03 11:00",79.95,1
588,"CDG","NRT","2022-01-03 08:00","2022-01-03 14:00",599.95,1
591,"CDG","NRT","2022-01-03 09:00","2022-01-03 16:00",233.99,1
594,"CDG","NRT","2022-01-03 10:00","2022-01-03 18:00",199.99,1
597,"CDG","NRT","2022-01-03 12:00","2022-01-03 20:00",59.00,1
600,"CDG","NRT","2022-01-03 14:00","2022-01-04 20:00",233.99,1
603,"CDG","NRT","2022-01-03 15:00","2022-01-04 03:00",209.89,1
606,"CDG","LHR","2022-01-03 04:00","2022-01-03 08:00",233.99,2
609,"CDG","LHR","2022-01-03 06:00","2022-01-03 11:00",79.95,2
612,"CDG","LHR","2022-01-03 08:00","2022-01-03 14:00",233.99,2
615,"CDG","LHR","2022-01-03 09:00","2022-01-03 16:00",99.95,2
618,"CDG","LHR","2022-01-03 10:00","2022-01-03 18:00",159.99,2
621,"CDG","LHR","2022-01-03 12:00","2022-01-03 20:00",209.89,2
624,"CDG","LHR","2022-01-03 14:00","2022-01-04 20:00",59.00,2
627,"CDG","LHR","2022-01-03 15:00","2022-01-04 03:00",299.99,2
630,"CDG","ARN","2022-01-03 04:00","2022-01-03 08:00",79.95,1
633,"CDG","ARN","2022-01-03 06:00","2022-01-03 11:00",199.99,1
636,"CDG","ARN","2022-01-03 08:00","2022-01-03 14:00",199.99,1
639,"CDG","ARN","2022-01-03 09:00","2022-01-03 16:00",59.00,1
642,"CDG","GCM","2022-01-03 04:00","2022-01-03 08:00",209.89,2
645,"CDG","GCM","2022-01-03 06:00","2022-01-03 11:00",209.89,2
648,"CDG","GCM","2022-01-03 08:00","2022-01-03 14:00",79.95,2
651,"CDG","GCM","2022-01-03 09:00","2022-01-03 16:00",79.95,2
654,"CDG","GCM","2022-01-03 10:00","2022-01-03 18:00",99.95,2
657,"CDG","GCM","2022-01-03 12:00","2022-01-03 20:00",199.99,2
660,"CDG","GCM","2022-01-03 14:00","2022-01-04 20:00",199.99,2
663,"CDG","YYZ","2022-01-03 04:00","2022-01-03 08:00",299.99,1
666,"CDG","YYZ","2022-01-03 06:00","2022-01-03 11:00",209.89,1
669,"CDG","YYZ","2022-01-03 08:00","2022-01-03 14:00",299.99,1
672,"CDG","YYZ","2022-01-03 09:00","2022-01-03 16:00",209.89,1
675,"CDG","YYZ","2022-01-03 10:00","2022-01-03 18:00",209.89,1
678,"CDG","ITO","2022-01-03 04:00","2022-01-03 08:00",299.99,1
681,"CDG","ITO","2022-01-03 06:00","2022-01-03 11:00",209.89,1
684,"CDG","ITO","2022-01-03 08:00","2022-01-03 14:00",233.99,1
687,"CDG","ITO","2022-01-03 09:00","2022-01-03 16:00",159.99,1
690,"CDG","ITO","2022-01-03 10:00","2022-01-03 18:00",209.89,1
693,"CDG","ITO","2022-01-03 12:00","2022-01-03 20:00",199.99,1
696,"CDG","ITO","2022-01-03 14:00","2022-01-04 20:00",159.99,1
699,"CDG","ITO","2022-01-03 15:00","2022-01-04 03:00",599.95,1
702,"CDG","HNL","2022-01-03 04:00","2022-01-03 08:00",79.95,1
705,"CDG","HNL","2022-01-03 06:00","2022-01-03 11:00",299.99,1
708,"CDG","HNL","2022-01-03 08:00","2022-01-03 14:00",79.95,1
711,"CDG","HNL","2022-01-03 09:00","2022-01-03 16:00",209.89,1
714,"CDG","HNL","2022-01-03 10:00","2022-01-03 18:00",209.89,1
717,"LHR","HNL","2022-01-03 04:00","2022-01-03 08:00",209.89,2
720,"LHR","HNL","2022-01-03 06:00","2022-01-03 11:00",159.99,2
723,"LHR","HNL","2022-01-03 08:00","2022-01-03 14:00",599.95,2
726,"LHR","HNL","2022-01-03 09:00","2022-01-03 16:00",233.99,2
729,"LHR","HNL","2022-01-03 10:00","2022-01-03 18:00",59.00,2
732,"LHR","HNL","2022-01-03 12:00","2022-01-03 20:00",159.99,2
735,"LHR","HNL","2022-01-03 14:00","2022-01-04 20:00",233.99,2
738,"LHR","HNL","2022-01-03 15:00","2022-01-04 03:00",59.00,2
741,"LHR","HKG","2022-01-03 04:00","2022-01-03 08:00",299.99,2
744,"LHR","HKG","2022-01-03 06:00","2022-01-03 11:00",199.99,2
747,"LHR","HKG","2022-01-03 08:00","2022-01-03 14:00",79.95,2
750,"LHR","HKG","2022-01-03 09:00","2022-01-03 16:00",299.99,2
753,"LHR","HKG","2022-01-03 10:00","2022-01-03 18:00",199.99,2
756,"LHR","NRT","2022-01-03 04:00","2022-01-03 08:00",59.00,3
759.00,"LHR","NRT","2022-01-03 06:00","2022-01-03 11:00",159.99,3
762,"LHR","NRT","2022-01-03 08:00","2022-01-03 14:00",299.99,3
765,"LHR","NRT","2022-01-03 09:00","2022-01-03 16:00",209.89,3
768,"LHR","NRT","2022-01-03 10:00","2022-01-03 18:00",299.99,3
771,"LHR","NRT","2022-01-03 12:00","2022-01-03 20:00",299.99,3
774,"LHR","NRT","2022-01-03 14:00","2022-01-04 20:00",125.00,3
777,"LHR","NRT","2022-01-03 15:00","2022-01-04 03:00",99.95,3
780,"LHR","NRT","2022-01-03 17:00","2022-01-04 07:00",79.95,3
783,"LHR","CDG","2022-01-03 04:00","2022-01-03 08:00",233.99,2
786,"LHR","CDG","2022-01-03 06:00","2022-01-03 11:00",79.95,2
789,"LHR","CDG","2022-01-03 08:00","2022-01-03 14:00",79.95,2
792,"LHR","CDG","2022-01-03 09:00","2022-01-03 16:00",599.95,2
795,"LHR","GCM","2022-01-03 04:00","2022-01-03 08:00",79.95,4
798,"LHR","GCM","2022-01-03 06:00","2022-01-03 11:00",299.99,4
801,"LHR","GCM","2022-01-03 08:00","2022-01-03 14:00",233.99,4
804,"LHR","GCM","2022-01-03 09:00","2022-01-03 16:00",99.95,4
807,"LHR","GCM","2022-01-03 10:00","2022-01-03 18:00",125.00,4
810,"LHR","GCM","2022-01-03 12:00","2022-01-03 20:00",159.99,4
813,"LHR","YYZ","2022-01-03 04:00","2022-01-03 08:00",199.99,1
816,"LHR","ITO","2022-01-03 04:00","2022-01-03 08:00",159.99,4
819,"LHR","ITO","2022-01-03 06:00","2022-01-03 11:00",599.95,4
822,"LHR","ITO","2022-01-03 08:00","2022-01-03 14:00",209.89,4
825,"LHR","ITO","2022-01-03 09:00","2022-01-03 16:00",233.99,4
828,"LHR","ITO","2022-01-03 10:00","2022-01-03 18:00",599.95,4
831,"LHR","ITO","2022-01-03 12:00","2022-01-03 20:00",99.95,4
834,"LHR","CUR","2022-01-03 04:00","2022-01-03 08:00",59.00,3
837,"LHR","CUR","2022-01-03 06:00","2022-01-03 11:00",79.95,3
840,"LHR","CUR","2022-01-03 08:00","2022-01-03 14:00",599.95,3
843,"LHR","CUR","2022-01-03 09:00","2022-01-03 16:00",59.00,3
846,"LHR","CUR","2022-01-03 10:00","2022-01-03 18:00",59.00,3
849,"ARN","HNL","2022-01-03 04:00","2022-01-03 08:00",159.99,2
852,"ARN","HNL","2022-01-03 06:00","2022-01-03 11:00",209.89,2
855,"ARN","HNL","2022-01-03 08:00","2022-01-03 14:00",79.95,2
858,"ARN","HKG","2022-01-03 04:00","2022-01-03 08:00",233.99,2
861,"ARN","NRT","2022-01-03 04:00","2022-01-03 08:00",79.95,2
864,"ARN","NRT","2022-01-03 06:00","2022-01-03 11:00",125.00,2
867,"ARN","NRT","2022-01-03 08:00","2022-01-03 14:00",99.95,2
870,"ARN","NRT","2022-01-03 09:00","2022-01-03 16:00",599.95,2
873,"ARN","NRT","2022-01-03 10:00","2022-01-03 18:00",159.99,2
876,"ARN","NRT","2022-01-03 12:00","2022-01-03 20:00",59.00,2
879,"ARN","NRT","2022-01-03 14:00","2022-01-04 20:00",233.99,2
882,"ARN","NRT","2022-01-03 15:00","2022-01-04 03:00",125.00,2
885,"ARN","CDG","2022-01-03 04:00","2022-01-03 08:00",199.99,1
888,"ARN","CDG","2022-01-03 06:00","2022-01-03 11:00",599.95,1
891,"ARN","CDG","2022-01-03 08:00","2022-01-03 14:00",159.99,1
894,"ARN","CDG","2022-01-03 09:00","2022-01-03 16:00",159.99,1
897,"ARN","CDG","2022-01-03 10:00","2022-01-03 18:00",233.99,1
900,"ARN","CDG","2022-01-03 12:00","2022-01-03 20:00",209.89,1
903,"ARN","CDG","2022-01-03 14:00","2022-01-04 20:00",209.89,1
906,"ARN","CDG","2022-01-03 15:00","2022-01-04 03:00",99.95,1
909,"ARN","CDG","2022-01-03 17:00","2022-01-04 07:00",209.89,1
912,"ARN","LHR","2022-01-03 04:00","2022-01-03 08:00",233.99,3
915,"ARN","LHR","2022-01-03 06:00","2022-01-03 11:00",233.99,3
918,"ARN","LHR","2022-01-03 08:00","2022-01-03 14:00",299.99,3
921,"ARN","LHR","2022-01-03 09:00","2022-01-03 16:00",199.99,3
924,"ARN","LHR","2022-01-03 10:00","2022-01-03 18:00",159.99,3
927,"ARN","LHR","2022-01-03 12:00","2022-01-03 20:00",59.00,3
930,"ARN","LHR","2022-01-03 14:00","2022-01-04 20:00",99.95,3
933,"ARN","LHR","2022-01-03 15:00","2022-01-04 03:00",209.89,3
936,"ARN","GCM","2022-01-03 04:00","2022-01-03 08:00",59.00,2
939,"ARN","GCM","2022-01-03 06:00","2022-01-03 11:00",209.89,2
942,"ARN","GCM","2022-01-03 08:00","2022-01-03 14:00",209.89,2
945,"ARN","GCM","2022-01-03 09:00","2022-01-03 16:00",99.95,2
948,"ARN","GCM","2022-01-03 10:00","2022-01-03 18:00",125.00,2
951,"ARN","GCM","2022-01-03 12:00","2022-01-03 20:00",599.95,2
954,"ARN","GCM","2022-01-03 14:00","2022-01-04 20:00",209.89,2
957,"ARN","GCM","2022-01-03 15:00","2022-01-04 03:00",599.95,2
960,"ARN","YYZ","2022-01-03 04:00","2022-01-03 08:00",233.99,2
963,"ARN","YYZ","2022-01-03 06:00","2022-01-03 11:00",199.99,2
966,"ARN","ITO","2022-01-03 04:00","2022-01-03 08:00",99.95,3
969,"ARN","ITO","2022-01-03 06:00","2022-01-03 11:00",159.99,3
972,"ARN","ITO","2022-01-03 08:00","2022-01-03 14:00",59.00,3
975,"ARN","ITO","2022-01-03 09:00","2022-01-03 16:00",59.00,3
978,"ARN","ITO","2022-01-03 10:00","2022-01-03 18:00",233.99,3
981,"ARN","HNL","2022-01-03 04:00","2022-01-03 08:00",233.99,2
984,"ARN","HNL","2022-01-03 06:00","2022-01-03 11:00",59.00,2
987,"ARN","HNL","2022-01-03 08:00","2022-01-03 14:00",599.95,2
990,"ARN","HNL","2022-01-03 09:00","2022-01-03 16:00",79.95,2
993,"ARN","HNL","2022-01-03 10:00","2022-01-03 18:00",599.95,2
996,"ARN","HNL","2022-01-03 12:00","2022-01-03 20:00",599.95,2
999,"ARN","HNL","2022-01-03 14:00","2022-01-04 20:00",299.99,2
1002,"ARN","HNL","2022-01-03 15:00","2022-01-04 03:00",599.95,2
1005,"GCM","HNL","2022-01-03 04:00","2022-01-03 08:00",59.00,3
1008,"GCM","HNL","2022-01-03 06:00","2022-01-03 11:00",125.00,3
1011,"GCM","HKG","2022-01-03 04:00","2022-01-03 08:00",199.99,3
1014,"GCM","HKG","2022-01-03 06:00","2022-01-03 11:00",199.99,3
1017,"GCM","HKG","2022-01-03 08:00","2022-01-03 14:00",125.00,3
1020,"GCM","HKG","2022-01-03 09:00","2022-01-03 16:00",209.89,3
1023,"GCM","HKG","2022-01-03 10:00","2022-01-03 18:00",59.00,3
1026,"GCM","NRT","2022-01-03 04:00","2022-01-03 08:00",59.00,2
1029,"GCM","CDG","2022-01-03 04:00","2022-01-03 08:00",233.99,2
1032,"GCM","CDG","2022-01-03 06:00","2022-01-03 11:00",233.99,2
1035,"GCM","CDG","2022-01-03 08:00","2022-01-03 14:00",233.99,2
1038,"GCM","LHR","2022-01-03 04:00","2022-01-03 08:00",159.99,4
1041,"GCM","ARN","2022-01-03 04:00","2022-01-03 08:00",299.99,3
1044,"GCM","ARN","2022-01-03 06:00","2022-01-03 11:00",599.95,3
1047,"GCM","ARN","2022-01-03 08:00","2022-01-03 14:00",233.99,3
1050,"GCM","YYZ","2022-01-03 04:00","2022-01-03 08:00",209.89,3
1053,"GCM","YYZ","2022-01-03 06:00","2022-01-03 11:00",599.95,3
1056,"GCM","YYZ","2022-01-03 08:00","2022-01-03 14:00",125.00,3
1059.00,"GCM","YYZ","2022-01-03 09:00","2022-01-03 16:00",299.99,3
1062,"GCM","YYZ","2022-01-03 10:00","2022-01-03 18:00",209.89,3
1065,"GCM","YYZ","2022-01-03 12:00","2022-01-03 20:00",159.99,3
1068,"GCM","YYZ","2022-01-03 14:00","2022-01-04 20:00",159.99,3
1071,"GCM","ITO","2022-01-03 04:00","2022-01-03 08:00",599.95,1
1074,"GCM","ITO","2022-01-03 06:00","2022-01-03 11:00",599.95,1
1077,"GCM","ITO","2022-01-03 08:00","2022-01-03 14:00",59.00,1
1080,"GCM","ITO","2022-01-03 09:00","2022-01-03 16:00",233.99,1
1083,"GCM","ITO","2022-01-03 10:00","2022-01-03 18:00",99.95,1
1086,"GCM","ITO","2022-01-03 12:00","2022-01-03 20:00",233.99,1
1089,"GCM","ITO","2022-01-03 14:00","2022-01-04 20:00",209.89,1
1092,"GCM","ITO","2022-01-03 15:00","2022-01-04 03:00",599.95,1
1095,"GCM","ITO","2022-01-03 17:00","2022-01-04 07:00",79.95,1
1098,"GCM","HNL","2022-01-03 04:00","2022-01-03 08:00",299.99,2
1101,"GCM","HNL","2022-01-03 06:00","2022-01-03 11:00",79.95,2
1104,"GCM","HNL","2022-01-03 08:00","2022-01-03 14:00",199.99,2
1107,"GCM","HNL","2022-01-03 09:00","2022-01-03 16:00",233.99,2
1110,"GCM","CUR","2022-01-03 04:00","2022-01-03 08:00",59.00,1
1113,"GCM","CUR","2022-01-03 06:00","2022-01-03 11:00",199.99,1
1116,"GCM","CUR","2022-01-03 08:00","2022-01-03 14:00",159.99,1
1119,"GCM","CUR","2022-01-03 09:00","2022-01-03 16:00",99.95,1
1122,"GCM","CUR","2022-01-03 10:00","2022-01-03 18:00",79.95,1
1125.00,"YYZ","HNL","2022-01-03 04:00","2022-01-03 08:00",99.95,1
1128,"YYZ","HNL","2022-01-03 06:00","2022-01-03 11:00",299.99,1
1131,"YYZ","HNL","2022-01-03 08:00","2022-01-03 14:00",159.99,1
1134,"YYZ","HKG","2022-01-03 04:00","2022-01-03 08:00",159.99,2
1137,"YYZ","HKG","2022-01-03 06:00","2022-01-03 11:00",125.00,2
1140,"YYZ","NRT","2022-01-03 04:00","2022-01-03 08:00",79.95,3
1143,"YYZ","NRT","2022-01-03 06:00","2022-01-03 11:00",233.99,3
1146,"YYZ","NRT","2022-01-03 08:00","2022-01-03 14:00",233.99,3
1149,"YYZ","NRT","2022-01-03 09:00","2022-01-03 16:00",599.95,3
1152,"YYZ","NRT","2022-01-03 10:00","2022-01-03 18:00",299.99,3
1155,"YYZ","CDG","2022-01-03 04:00","2022-01-03 08:00",299.99,2
1158,"YYZ","CDG","2022-01-03 06:00","2022-01-03 11:00",209.89,2
